Name,Code
Xã Đông Minh,00850
Xã Mậu Long,00853
Xã Ngam La,00856
Xã Ngọc Long,00859
Xã Đường Thượng,00862
Xã Lũng Hồ,00865
Xã Du Tiến,00868
Xã Du Già,00871
Thị trấn Tam Sơn,00874
Xã Bát Đại Sơn,00877
Xã Nghĩa Thuận,00880
Xã Cán Tỷ,00883
Xã Cao Mã Pờ,00886
Xã Thanh Vân,00889
Xã Tùng Vài,00892
Xã Đông Hà,00895
Xã Quản Bạ,00898
Xã Lùng Tám,00901
Xã Quyết Tiến,00904
Xã Tả Ván,00907
Xã Thái An,00910
Xã Kim Thạch,00703
Xã Phú Linh,00706
Xã Kim Linh,00709
Thị trấn Vị Xuyên,00913
Thị trấn Nông Trường Việt Lâm,00916
Xã Minh Tân,00919
Xã Thuận Hoà,00922
Xã Tùng Bá,00925
Xã Thanh Thủy,00928
Xã Thanh Đức,00931
Xã Phong Quang,00934
Xã Xín Chải,00937
Xã Phương Tiến,00940
Xã Lao Chải,00943
Xã Cao Bồ,00952
Xã Đạo Đức,00955
Xã Thượng Sơn,00958
Xã Linh Hồ,00961
Xã Quảng Ngần,00964
Xã Việt Lâm,00967
Xã Ngọc Linh,00970
Xã Ngọc Minh,00973
Xã Bạch Ngọc,00976
Xã Trung Thành,00979
Xã Minh Sơn,00982
Xã Giáp Trung,00985
Xã Yên Định,00988
Thị trấn Yên Phú,00991
Xã Minh Ngọc,00994
Xã Yên Phong,00997
Xã Lạc Nông,01000
Xã Phú Nam,01003
Xã Yên Cường,01006
Xã Thượng Tân,01009
Xã Đường Âm,01012
Xã Đường Hồng,01015
Xã Phiêng Luông,01018
Thị trấn Vinh Quang,01021
Xã Bản Máy,01024
Xã Thàng Tín,01027
Xã Thèn Chu Phìn,01030
Xã Pố Lồ,01033
Xã Bản Phùng,01036
Xã Túng Sán,01039
Xã Chiến Phố,01042
Xã Đản Ván,01045
Xã Tụ Nhân,01048
Xã Tân Tiến,01051
Xã Nàng Đôn,01054
Xã Pờ Ly Ngài,01057
Xã Sán Xả Hồ,01060
Xã Bản Luốc,01063
Xã Ngàm Đăng Vài,01066
Xã Bản Nhùng,01069
Xã Tả Sử Choóng,01072
Xã Nậm Dịch,01075
Xã Bản Péo,01078
Xã Hồ Thầu,01081
Xã Nam Sơn,01084
Xã Nậm Tỵ,01087
Xã Thông Nguyên,01090
Xã Nậm Khòa,01093
Thị trấn Cốc Pài,01096
Xã Nàn Xỉn,01099
Xã Bản Díu,01102
Xã Chí Cà,01105
Xã Xín Mần,01108
Xã Trung Thịnh,01111
Xã Thèn Phàng,01114
Xã Ngán Chiên,01117
Xã Pà Vầy Sủ,01120
Xã Cốc Rế,01123
Xã Thu Tà,01126
Xã Nàn Ma,01129
Xã Tả Nhìu,01132
Xã Bản Ngò,01135
Xã Chế Là,01138
Xã Nấm Dẩn,01141
Xã Quảng Nguyên,01144
Xã Nà Chì,01147
Xã Khuôn Lùng,01150
Thị trấn Việt Quang,01153
Thị trấn Vĩnh Tuy,01156
Xã Tân Lập,01159
Xã Tân Thành,01162
Xã Đồng Tiến,01165
Xã Đồng Tâm,01168
Xã Tân Quang,01171
Xã Thượng Bình,01174
Xã Hữu Sản,01177
Xã Kim Ngọc,01180
Xã Việt Vinh,01183
Xã Bằng Hành,01186
Xã Quang Minh,01189
Xã Liên Hiệp,01192
Xã Vô Điếm,01195
Xã Việt Hồng,01198
Xã Hùng An,01201
Xã Đức Xuân,01204
Xã Tiên Kiều,01207
Xã Vĩnh Hảo,01210
Xã Vĩnh Phúc,01213
Xã Đồng Yên,01216
Xã Đông Thành,01219
Xã Xuân Minh,01222
Xã Tiên Nguyên,01225
Xã Tân Nam,01228
Xã Bản Rịa,01231
Xã Yên Thành,01234
Thị trấn Yên Bình,01237
Xã Tân Trịnh,01240
Xã Tân Bắc,01243
Xã Bằng Lang,01246
Xã Yên Hà,01249
Xã Hương Sơn,01252
Xã Xuân Giang,01255
Xã Nà Khương,01258
Xã Tiên Yên,01261
Xã Vĩ Thượng,01264
Phường Sông Hiến,01267
Phường Sông Bằng,01270
Phường Hợp Giang,01273
Phường Tân Giang,01276
Phường Ngọc Xuân,01279
Phường Đề Thám,01282
Phường Hoà Chung,01285
Phường Duyệt Trung,01288
Xã Vĩnh Quang,01693
Xã Hưng Đạo,01705
Xã Chu Trinh,01720
Thị trấn Pác Miầu,01290
Xã Đức Hạnh,01291
Xã Lý Bôn,01294
Xã Nam Cao,01296
Xã Nam Quang,01297
Xã Vĩnh Quang,01300
Xã Quảng Lâm,01303
Xã Thạch Lâm,01304
Xã Tân Việt,01306
Xã Vĩnh Phong,01309
Xã Mông Ân,01312
Xã Thái Học,01315
Xã Thái Sơn,01316
Xã Yên Thổ,01318
Thị trấn Bảo Lạc,01321
Xã Cốc Pàng,01324
Xã Thượng Hà,01327
Xã Cô Ba,01330
Xã Bảo Toàn,01333
Xã Khánh Xuân,01336
Xã Xuân Trường,01339
Xã Hồng Trị,01342
Xã Kim Cúc,01343
Xã Phan Thanh,01345
Xã Hồng An,01348
Xã Hưng Đạo,01351
Xã Hưng Thịnh,01352
Xã Huy Giáp,01354
Xã Đình Phùng,01357
Xã Sơn Lập,01359
Xã Sơn Lộ,01360
Thị trấn Thông Nông,01363
Xã Cần Yên,01366
Xã Cần Nông,01367
Xã Vị Quang,01369
Xã Lương Thông,01372
Xã Đa Thông,01375
Xã Ngọc Động,01378
Xã Yên Sơn,01381
Xã Lương Can,01384
Xã Thanh Long,01387
Xã Bình Lãng,01390
Thị trấn Xuân Hòa,01392
Xã Lũng Nặm,01393
Xã Kéo Yên,01396
Xã Trường Hà,01399
Xã Vân An,01402
Xã Cải Viên,01405
Xã Nà Sác,01408
Xã Nội Thôn,01411
Xã Tổng Cọt,01414
Xã Sóc Hà,01417
Xã Thượng Thôn,01420
Xã Vần Dính,01423
Xã Hồng Sĩ,01426
Xã Sĩ Hai,01429
Xã Quý Quân,01432
Xã Mã Ba,01435
Xã Phù Ngọc,01438
Xã Đào Ngạn,01441
Xã Hạ Thôn,01444
Thị trấn Hùng Quốc,01447
Xã Cô Mười,01450
Xã Tri Phương,01453
Xã Quang Hán,01456
Xã Quang Vinh,01459
Xã Xuân Nội,01462
Xã Quang Trung,01465
Xã Lưu Ngọc,01468
Xã Cao Chương,01471
Xã Quốc Toản,01474
Thị trấn Trùng Khánh,01477
Xã Ngọc Khê,01480
Xã Ngọc Côn,01481
Xã Phong Nậm,01483
Xã Ngọc Chung,01486
Xã Đình Phong,01489
Xã Lăng Yên,01492
Xã Đàm Thuỷ,01495
Xã Khâm Thành,01498
Xã Chí Viễn,01501
Xã Lăng Hiếu,01504
Xã Phong Châu,01507
Xã Đình Minh,01510
Xã Cảnh Tiên,01513
Xã Trung Phúc,01516
Xã Cao Thăng,01519
Xã Đức Hồng,01522
Xã Thông Hoè,01525
Xã Thân Giáp,01528
Xã Đoài Côn,01531
Xã Minh Long,01534
Xã Lý Quốc,01537
Xã Thắng Lợi,01540
Xã Đồng Loan,01543
Xã Đức Quang,01546
Xã Kim Loan,01549
Xã Quang Long,01552
Xã An Lạc,01555
Thị trấn Thanh Nhật,01558
Xã Vinh Quý,01561
Xã Việt Chu,01564
Xã Cô Ngân,01567
Xã Thái Đức,01570
Xã Thị Hoa,01573
Thị trấn Quảng Uyên,01576
Xã Phi Hải,01579
Xã Quảng Hưng,01582
Xã Bình Lăng,01585
Xã Quốc Dân,01588
Xã Quốc Phong,01591
Xã Độc Lập,01594
Xã Cai Bộ,01597
Xã Đoài Khôn,01600
Xã Phúc Sen,01603
Xã Chí Thảo,01606
Xã Tự Do,01609
Xã Hồng Định,01612
Xã Hồng Quang,01615
Xã Ngọc Động,01618
Xã Hoàng Hải,01621
Xã Hạnh Phúc,01624
Thị trấn Tà Lùng,01627
Xã Triệu ẩu,01630
Xã Hồng Đại,01633
